1000,93,90,63,50,86
1001,88,69,52,98,88
1002,76,64,70,52,89
1003,63,81,69,100,72
1004,86,52,56,58,63
1005,61,78,83,85,74
1006,80,63,87,76,75
1007,63,70,100,98,76
1008,80,66,93,56,61
1009,86,91,93,56,87
1010,55,74,75,80,64
1011,93,64,70,98,64
1012,56,73,83,99,54
1013,89,52,58,96,65
1014,91,83,82,60,79
1015,60,100,68,97,92
1016,66,70,84,95,93
1017,75,58,59,56,72
1018,78,54,79,86,90
1019,83,99,91,76,74
1020,58,85,61,97,79
1021,77,73,82,64,76
1022,69,70,83,56,93
1023,72,67,63,74,60
1024,85,72,99,55,88
1025,69,77,53,53,65
1026,68,71,84,96,98
1027,57,66,84,55,58
1028,75,100,76,84,100
1029,89,74,75,79,95
1030,54,97,61,98,73
1031,78,99,82,80,60
1032,97,81,100,98,97
1033,70,76,75,77,65
1034,72,93,53,67,73
1035,71,67,61,95,66
1036,80,89,93,57,81
1037,85,57,87,55,62
1038,69,87,91,89,98
1039,79,65,74,64,92
1040,64,66,91,86,54
1041,95,81,69,81,55
1042,59,70,96,57,75
1043,51,92,89,100,100
1044,69,98,73,50,76
1045,86,52,99,90,57
1046,57,75,53,52,99
1047,92,70,72,94,82
1048,68,63,98,59,54
1049,87,84,57,79,62
1050,84,99,52,77,88
1051,85,84,98,95,52
1052,87,69,82,85,100
1053,96,98,50,91,70
1054,62,60,97,64,60
1055,75,51,88,98,96
1056,94,89,78,90,63
1057,72,62,57,50,68
1058,79,95,74,70,57
1059,89,85,99,59,53
1060,51,72,59,77,84
1061,77,54,83,73,97
1062,67,96,99,75,92
1063,63,56,52,77,71
1064,88,58,60,95,56
1065,94,85,70,55,54
1066,86,93,77,69,90
1067,86,71,51,75,100
1068,91,91,64,59,79
1069,79,50,58,55,81
1070,53,76,59,75,69
1071,88,97,69,52,51
1072,71,61,75,66,79
1073,67,73,76,78,59
1074,85,60,56,88,99
1075,50,58,95,83,58
1076,59,62,73,88,64
1077,60,71,75,71,56
1078,94,72,51,100,71
1079,61,92,95,77,85
1080,86,93,88,65,77
1081,99,91,85,89,94
1082,56,92,71,52,74
1083,73,97,86,70,63
1084,57,94,56,82,98
1085,89,65,55,51,82
1086,56,96,64,62,59
1087,66,52,96,73,97
1088,66,72,51,84,50
1089,72,79,74,52,89
1090,90,59,64,95,84
1091,62,84,80,98,99
1092,78,59,70,64,59
1093,63,86,87,87,74
1094,79,93,83,59,100
1095,54,95,70,77,73
1096,62,58,68,80,90
1097,59,62,84,53,59
1098,59,57,98,79,91
1099,94,76,79,82,88
